-190	-722	38	15
-114	-722	38	22
-38	-722	38	19
-342	-646	38	12
-266	-646	38	11
-190	-646	38	12
-114	-646	38	29
-38	-646	38	36
-494	-570	38	20
-418	-570	38	15
-342	-570	38	22
-266	-570	38	27
-190	-570	38	26
-114	-570	38	24
-38	-570	38	38
-570	-494	38	5
-494	-494	38	12
-418	-494	38	24
-342	-494	38	48
-266	-494	38	13
-190	-494	38	3
-114	-494	38	20
-38	-494	38	26
-570	-418	38	23
-494	-418	38	32
-418	-418	38	43
-342	-418	38	33
-266	-418	38	17
-190	-418	38	25
-114	-418	38	34
-38	-418	38	34
-646	-342	38	24
-570	-342	38	19
-494	-342	38	51
-418	-342	38	41
-342	-342	38	31
-266	-342	38	29
-190	-342	38	37
-114	-342	38	28
-38	-342	38	47
-722	-266	38	21
-646	-266	38	24
-570	-266	38	34
-494	-266	38	47
-418	-266	38	27
-342	-266	38	20
-266	-266	38	12
-190	-266	38	19
-114	-266	38	43
-38	-266	38	44
-722	-190	38	14
-646	-190	38	25
-570	-190	38	31
-494	-190	38	42
-418	-190	38	29
-342	-190	38	24
-266	-190	38	7
-190	-190	38	20
-114	-190	38	38
-38	-190	38	29
-722	-114	38	17
-646	-114	38	27
-570	-114	38	19
-494	-114	38	22
-418	-114	38	28
-342	-114	38	22
-266	-114	38	17
-190	-114	38	17
-114	-114	38	30
-38	-114	38	37
-722	-38	38	19
-646	-38	38	43
-570	-38	38	24
-494	-38	38	35
-418	-38	38	19
-342	-38	38	15
-266	-38	38	12
-190	-38	38	18
-114	-38	38	28
-38	-38	38	29
-722	38	38	19
-646	38	38	43
-570	38	38	24
-494	38	38	35
-418	38	38	19
-342	38	38	15
-266	38	38	12
-190	38	38	18
-114	38	38	28
-38	38	38	29
-722	114	38	17
-646	114	38	27
-570	114	38	19
-494	114	38	22
-418	114	38	28
-342	114	38	22
-266	114	38	17
-190	114	38	17
-114	114	38	30
-38	114	38	37
-722	190	38	14
-646	190	38	25
-570	190	38	31
-494	190	38	42
-418	190	38	29
-342	190	38	24
-266	190	38	7
-190	190	38	20
-114	190	38	38
-38	190	38	29
-646	266	38	24
-570	266	38	34
-494	266	38	47
-418	266	38	27
-342	266	38	20
-266	266	38	12
-190	266	38	19
-114	266	38	43
-38	266	38	44
-646	342	38	24
-570	342	38	19
-494	342	38	51
-418	342	38	41
-342	342	38	31
-266	342	38	29
-190	342	38	37
-114	342	38	28
-38	342	38	47
-570	418	38	23
-494	418	38	32
-418	418	38	43
-342	418	38	33
-266	418	38	17
-190	418	38	25
-114	418	38	34
-38	418	38	34
-494	494	38	12
-418	494	38	24
-342	494	38	48
-266	494	38	13
-190	494	38	3
-114	494	38	20
-38	494	38	26
-418	570	38	15
-342	570	38	22
-266	570	38	27
-190	570	38	26
-114	570	38	24
-38	570	38	38
-342	646	38	12
-266	646	38	11
-190	646	38	12
-114	646	38	29
-38	646	38	36
-114	722	38	22
-38	722	38	19
-114	-722	114	21
-38	-722	114	19
-342	-646	114	11
-266	-646	114	13
-190	-646	114	13
-114	-646	114	22
-38	-646	114	28
-418	-570	114	22
-342	-570	114	23
-266	-570	114	26
-190	-570	114	25
-114	-570	114	29
-38	-570	114	38
-494	-494	114	18
-418	-494	114	17
-342	-494	114	49
-266	-494	114	22
-190	-494	114	5
-114	-494	114	23
-38	-494	114	26
-494	-418	114	18
-418	-418	114	47
-342	-418	114	33
-266	-418	114	18
-190	-418	114	20
-114	-418	114	30
-38	-418	114	31
-570	-342	114	19
-494	-342	114	52
-418	-342	114	44
-342	-342	114	36
-266	-342	114	25
-190	-342	114	34
-114	-342	114	28
-38	-342	114	55
-646	-266	114	23
-570	-266	114	40
-494	-266	114	48
-418	-266	114	37
-342	-266	114	26
-266	-266	114	24
-190	-266	114	36
-114	-266	114	39
-38	-266	114	45
-646	-190	114	23
-570	-190	114	28
-494	-190	114	48
-418	-190	114	27
-342	-190	114	26
-266	-190	114	18
-190	-190	114	18
-114	-190	114	47
-38	-190	114	41
-646	-114	114	24
-570	-114	114	31
-494	-114	114	46
-418	-114	114	23
-342	-114	114	20
-266	-114	114	19
-190	-114	114	18
-114	-114	114	49
-38	-114	114	33
-646	-38	114	37
-570	-38	114	29
-494	-38	114	49
-418	-38	114	22
-342	-38	114	16
-266	-38	114	20
-190	-38	114	17
-114	-38	114	47
-38	-38	114	41
-646	38	114	37
-570	38	114	29
-494	38	114	49
-418	38	114	22
-342	38	114	16
-266	38	114	20
-190	38	114	17
-114	38	114	47
-38	38	114	41
-646	114	114	24
-570	114	114	31
-494	114	114	46
-418	114	114	23
-342	114	114	20
-266	114	114	19
-190	114	114	18
-114	114	114	49
-38	114	114	33
-646	190	114	23
-570	190	114	28
-494	190	114	48
-418	190	114	27
-342	190	114	26
-266	190	114	18
-190	190	114	18
-114	190	114	47
-38	190	114	41
-646	266	114	23
-570	266	114	40
-494	266	114	48
-418	266	114	37
-342	266	114	26
-266	266	114	24
-190	266	114	36
-114	266	114	39
-38	266	114	45
-570	342	114	19
-494	342	114	52
-418	342	114	44
-342	342	114	36
-266	342	114	25
-190	342	114	34
-114	342	114	28
-38	342	114	55
-494	418	114	18
-418	418	114	47
-342	418	114	33
-266	418	114	18
-190	418	114	20
-114	418	114	30
-38	418	114	31
-494	494	114	18
-418	494	114	17
-342	494	114	49
-266	494	114	22
-190	494	114	5
-114	494	114	23
-38	494	114	26
-418	570	114	22
-342	570	114	23
-266	570	114	26
-190	570	114	25
-114	570	114	29
-38	570	114	38
-266	646	114	13
-190	646	114	13
-114	646	114	22
-38	646	114	28
-114	722	114	21
-38	722	114	19
-266	-646	190	16
-190	-646	190	12
-114	-646	190	22
-38	-646	190	17
-418	-570	190	6
-342	-570	190	22
-266	-570	190	13
-190	-570	190	24
-114	-570	190	31
-38	-570	190	37
-494	-494	190	18
-418	-494	190	16
-342	-494	190	45
-266	-494	190	28
-190	-494	190	15
-114	-494	190	32
-38	-494	190	32
-570	-418	190	5
-494	-418	190	14
-418	-418	190	46
-342	-418	190	41
-266	-418	190	20
-190	-418	190	35
-114	-418	190	23
-38	-418	190	34
-646	-342	190	8
-570	-342	190	23
-494	-342	190	50
-418	-342	190	43
-342	-342	190	30
-266	-342	190	41
-190	-342	190	26
-114	-342	190	26
-38	-342	190	47
-646	-266	190	5
-570	-266	190	25
-494	-266	190	20
-418	-266	190	39
-342	-266	190	28
-266	-266	190	30
-190	-266	190	43
-114	-266	190	28
-38	-266	190	51
-646	-190	190	22
-570	-190	190	35
-494	-190	190	50
-418	-190	190	44
-342	-190	190	14
-266	-190	190	16
-190	-190	190	45
-114	-190	190	35
-38	-190	190	49
-722	-114	190	11
-646	-114	190	21
-570	-114	190	37
-494	-114	190	50
-418	-114	190	47
-342	-114	190	18
-266	-114	190	16
-190	-114	190	42
-114	-114	190	41
-38	-114	190	54
-722	-38	190	17
-646	-38	190	18
-570	-38	190	44
-494	-38	190	47
-418	-38	190	50
-342	-38	190	16
-266	-38	190	16
-190	-38	190	46
-114	-38	190	49
-38	-38	190	48
-722	38	190	17
-646	38	190	18
-570	38	190	44
-494	38	190	47
-418	38	190	50
-342	38	190	16
-266	38	190	16
-190	38	190	46
-114	38	190	49
-38	38	190	48
-722	114	190	11
-646	114	190	21
-570	114	190	37
-494	114	190	50
-418	114	190	47
-342	114	190	18
-266	114	190	16
-190	114	190	42
-114	114	190	41
-38	114	190	54
-646	190	190	22
-570	190	190	35
-494	190	190	50
-418	190	190	44
-342	190	190	14
-266	190	190	16
-190	190	190	45
-114	190	190	35
-38	190	190	49
-646	266	190	5
-570	266	190	25
-494	266	190	20
-418	266	190	39
-342	266	190	28
-266	266	190	30
-190	266	190	43
-114	266	190	28
-38	266	190	51
-646	342	190	8
-570	342	190	23
-494	342	190	50
-418	342	190	43
-342	342	190	30
-266	342	190	41
-190	342	190	26
-114	342	190	26
-38	342	190	47
-570	418	190	5
-494	418	190	14
-418	418	190	46
-342	418	190	41
-266	418	190	20
-190	418	190	35
-114	418	190	23
-38	418	190	34
-494	494	190	18
-418	494	190	16
-342	494	190	45
-266	494	190	28
-190	494	190	15
-114	494	190	32
-38	494	190	32
-418	570	190	6
-342	570	190	22
-266	570	190	13
-190	570	190	24
-114	570	190	31
-38	570	190	37
-266	646	190	16
-190	646	190	12
-114	646	190	22
-38	646	190	17
-266	-646	266	21
-190	-646	266	19
-114	-646	266	16
-38	-646	266	19
-418	-570	266	13
-342	-570	266	20
-266	-570	266	10
-190	-570	266	11
-114	-570	266	37
-38	-570	266	40
-494	-494	266	6
-418	-494	266	21
-342	-494	266	24
-266	-494	266	15
-190	-494	266	15
-114	-494	266	24
-38	-494	266	38
-494	-418	266	14
